topo,attack,rate,attacker_out,legit_out,contrast
tree,ifa,10,14.4,4.45,3.2
tree,ifa,12,16.4,4.45,3.7
tree,ifa,15,19.4,4.45,4.4
tree,ifa,20,24.4,4.45,5.5
tree,ifa,30,34.4,4.45,7.7
tree,ifa,50,54.4,4.52,12.1
tree,ifa,100,104.4,4.52,23.1
tree,cp,10,16.5,4.45,3.7
tree,cp,12,18.6,4.45,4.2
tree,cp,15,21.9,4.45,4.9
tree,cp,20,27.4,4.45,6.2
tree,cp,30,38.0,4.45,8.5
tree,cp,50,58.5,4.54,12.9
tree,cp,100,109.1,4.54,24.0
dfn,ifa,10,14.4,4.45,3.2
dfn,ifa,12,16.4,4.45,3.7
dfn,ifa,15,19.4,4.45,4.4
dfn,ifa,20,24.4,4.45,5.5
dfn,ifa,30,34.4,4.45,7.7
dfn,ifa,50,54.4,4.52,12.1
dfn,ifa,100,104.4,4.52,23.1
dfn,cp,10,16.5,4.45,3.7
dfn,cp,12,18.6,4.45,4.2
dfn,cp,15,21.9,4.45,4.9
dfn,cp,20,27.4,4.45,6.2
dfn,cp,30,38.0,4.45,8.5
dfn,cp,50,58.5,4.54,12.9
dfn,cp,100,109.1,4.54,24.0
dumbbell,ifa,10,14.4,4.42,3.3
dumbbell,ifa,12,16.4,4.42,3.7
dumbbell,ifa,15,19.4,4.42,4.4
dumbbell,ifa,20,24.4,4.42,5.5
dumbbell,ifa,30,34.4,4.42,7.8
dumbbell,ifa,50,54.5,4.55,12.0
dumbbell,ifa,100,104.4,4.55,22.9
dumbbell,cp,10,16.5,4.4,3.7
dumbbell,cp,12,18.6,4.4,4.2
dumbbell,cp,15,21.9,4.4,5.0
dumbbell,cp,20,27.4,4.4,6.2
dumbbell,cp,30,38.1,4.4,8.7
dumbbell,cp,50,58.6,4.5,13.0
dumbbell,cp,100,109.2,4.5,24.3
